epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,31.7096,2.41157,4.84412,1.84621,0.75974,0.04791,0.02398,0.01007,1.8698,3.49571,1.34714,0.00332278,0.00332278,0.00332278
2,53.665,2.17668,3.45753,1.60366,0.59033,0.0759,0.05262,0.0219,1.88384,2.84103,1.38469,0.00664294,0.00664294,0.00664294
3,75.524,2.14788,3.11749,1.61816,0.4525,0.19085,0.10489,0.04207,1.96534,2.41596,1.51221,0.00994989,0.00994989,0.00994989
4,97.1318,2.136,2.9316,1.65196,0.37,0.35311,0.19352,0.09499,1.90091,2.42069,1.54364,0.0099406,0.0099406,0.0099406
5,118.651,2.11844,2.74507,1.63845,0.29189,0.42158,0.23231,0.11463,1.78382,2.05984,1.44925,0.0099208,0.0099208,0.0099208
6,139.973,2.08014,2.65204,1.62756,0.40826,0.39499,0.25173,0.09799,1.96619,1.99709,1.55352,0.009901,0.009901,0.009901
7,161.237,2.07852,2.52917,1.61812,0.36569,0.43974,0.26465,0.13368,1.74551,1.93488,1.43664,0.0098812,0.0098812,0.0098812
8,182.44,2.05109,2.42101,1.60738,0.41171,0.39976,0.28723,0.12108,1.8413,1.87449,1.48402,0.0098614,0.0098614,0.0098614
9,203.504,2.04333,2.37265,1.59458,0.41844,0.42718,0.31753,0.14412,1.88799,1.78532,1.48397,0.0098416,0.0098416,0.0098416
10,224.957,2.02411,2.29983,1.58251,0.37306,0.47014,0.34858,0.17355,1.73186,1.72824,1.3849,0.0098218,0.0098218,0.0098218
11,246.184,2.02482,2.26977,1.59156,0.45013,0.44566,0.35544,0.1666,1.85805,1.79495,1.50042,0.009802,0.009802,0.009802
12,267.342,2.00697,2.21708,1.58812,0.45778,0.4392,0.35395,0.17919,1.77255,1.70944,1.44216,0.0097822,0.0097822,0.0097822
13,288.59,1.99855,2.14796,1.57295,0.39991,0.49436,0.36744,0.17988,1.85228,1.70709,1.499,0.0097624,0.0097624,0.0097624
14,309.964,1.99833,2.14435,1.57022,0.42876,0.52136,0.39844,0.1665,1.89289,1.636,1.49821,0.0097426,0.0097426,0.0097426
